Resource Name,Address,Zip,hours,library,library_open,temporary_shelter,day_center,coord_reentry,group_therapy,showers,meals,food_box,laundry,health_services,misc_services,description,URL,full_address,Latitude,Longitude,Address_clean,Zip_clean,ADDRESS_clean,ZIP_clean,match_method,match_score,match_method_display,neighborhood
Union Gospel Mission,9715 SE Powell Boulevard,97266,Saturday 10am-2pm,0,1,0,1,0,0,1,0,0,0,0,0,Provides a mobile shower trailer.,TBD,"9715 SE Powell Boulevard, Portland, OR 97266",45.49808927,-122.5636404,9715 SE POWELL BOULEVARD,97266,,,none,,none,Powellhurst-Gilbert
Fort Kennedy,7600 SE Johnson Creek Boulevard,97206,Monday-Friday 9am-3pm,0,1,0,1,0,0,1,0,1,0,1,1,"Provides food boxes, pet food, clothing, showers, blood pressure checks, bus passes, legal information services, and benefit and housing resources.",TBD,"7600 SE Johnson Creek Boulevard, Portland, OR 97206",45.45534168042028,-122.5861161,7600 SE JOHNSON CREEK BOULEVARD,97206,,,fuzzy,91.22807018,fuzzy (91.2%),Ardenwald-Johnson Creek
Cultivate Initiatives,4033 SE Woodstock Boulevard,97202,Saturday 11am-2pm,0,1,0,1,0,0,1,0,0,0,1,1,"Provides a mobile van for showers, clothing, haircuts, hygiene products, COVID-19 screenings, wound care, health education, and provider referrals. Some services are conducted by nursing students and depend on volunteers.",TBD,"4033 SE Woodstock Boulevard, Portland, OR 97202",45.47980827,-122.6207593,4033 SE WOODSTOCK BOULEVARD,97202,,,none,,none,Woodstock
New Avenues For Youth,470 SE 165th Avenue,97233,Monday-Friday 10am-6pm,0,1,0,1,0,0,1,0,0,1,0,1,"Offers access to showers, laundry, clothes, computers, internet, and supportive advocates. Hosts regular activities where youth can access resources, explore their artistic talents, join recreation groups, and learn new skills. Also connects youth to other services like education, job training, employment, housing, LGBTQIA2S+ supports, and more.",TBD,"470 SE 165th Avenue, Portland, OR 97233",45.51964852029713,-122.4923917,470 SE 165TH AVENUE,97233,470 SE 165TH AVENUE,97233,exact,,exact,Powellhurst-Gilbert
Cultivate Initiatives,247 SE 82nd Avenue,97215,Tuesday/Thursday 11am-2pm,0,1,0,1,0,0,1,0,0,0,0,1,"Provides a mobile van for showers, clothing, haircuts, hygiene products, COVID-19 screenings, wound care, health education, and provider referrals. Some services are conducted by nursing students and depend on volunteers.",TBD,"247 SE 82nd Avenue, Portland, OR 97215",45.52080981552049,-122.6105076,247 SE 82ND AVENUE,97215,,,fuzzy,94.44444444444444,fuzzy (94.4%),Mt. Tabor
Union Gospel Mission,1302 SE Ankeny Street,97214,Monday 9am-noon,0,1,0,1,0,0,1,0,0,0,0,0,Provides a mobile shower trailer.,TBD,"1302 SE Ankeny Street, Portland, OR 97214",45.52185926,-122.6519974,1302 SE ANKENY STREET,97214,1302 SE ANKENY STREET,97214,exact,,exact,Buckman
Union Gospel Mission,3 NW Third Avenue,97209,Wednesday 9am-12:30pm,0,1,0,1,0,0,1,0,0,0,0,0,Provides a mobile shower trailer.,TBD,"3 NW Third Avenue, Portland, OR 97209",45.52533758,-122.6735082,3 NW THIRD AVENUE,97209,,,none,,none,Old Town
New Avenues For Youth,314 SW 9th Avenue,97205,Monday-Friday 10am-6pm,0,1,0,1,0,0,1,1,0,1,0,0,"Provides a safe space where youth can get meals six days per week. Offers access to showers, laundry, clothes, computers, internet, and supportive advocates. Hosts regular activities where youth can access resources, explore their artistic talents, join recreation groups, and learn new skills. Also connects youth to other services like education, job training, employment, housing, LGBTQIA2S+ supports, and more.",TBD,"314 SW 9th Avenue, Portland, OR 97205",45.52220670664016,-122.6798266,314 SW 9TH AVENUE,97205,314 SW 9TH AVENUE,97205,exact,,exact,Portland Downtown
Outside In,1132 SW 13th Avenue,97205,Various,0,1,0,1,0,0,1,1,0,1,0,0,"A drop in center that provides basic needs services such as meals, recreation/activities, showers, laundry, phone, mailing address, and computers. Also offers a safe space for LGBTQ youth.",TBD,"1132 SW 13th Avenue, Portland, OR 97205",45.51758203529168,-122.6865629,1132 SW 13TH AVENUE,97205,1132 SW 13TH AVENUE,97205,exact,,exact,Portland Downtown
Transition Projects,650 NW Irving Street,97209,Various,0,1,0,1,0,0,1,0,0,0,0,1,"The Resource Center helps people access services at Transition Projects, Bud Clark Commons, and other agencies to help people transition out of homelessness into housing.",TBD,"650 NW Irving Street, Portland, OR 97209",45.5277911,-122.6773006,650 NW IRVING STREET,97209,650 NW IRVING STREET,97209,exact,,exact,Old Town
Ecumenical Ministries Of Oregon,2941 NE Ainsworth Street,97211,Various,0,1,0,1,0,0,1,1,0,1,1,1,"Provides a drop-in center serving hot breakfast and lunches, access to phones and computers, and recreational activities such as art therapy, games, and video-based media. Also provides clothing, showers, mail services, and hygiene supplies. Guests have access to laundry services, massages, acupuncture, foot care, and haircuts on a sign-up basis.",TBD,"2941 NE Ainsworth Street, Portland, OR 97211",45.56661732772423,-122.6353293,2941 NE AINSWORTH STREET,97211,2941 NE AINSWORTH STREET,97211,exact,,exact,Concordia
Join,1435 NE 81st Avenue,97213,Monday/Wednesday/Thursday/Friday 11am-3:30pm,0,1,0,1,0,0,1,0,0,0,0,0,"Provides a daytime drop-in center. Services include access to showers, bathrooms, mail pick up and PO Box setup, hygiene items, diapers, pet food, on-site WiFi and telephone usage, and specialized information and referral.",TBD,"1435 NE 81st Avenue, Portland, OR 97213",45.533199655692464,-122.5803161,1435 NE 81ST AVENUE,97213,1435 NE 81ST AVENUE,97213,exact,,exact,Montavilla
Cultivate Initiatives,12505 NE Halsey Street,97230,Varies,0,1,0,1,0,0,1,0,0,0,1,1,"Provides a mobile van for showers, clothing, haircuts, hygiene products, COVID-19 screenings, wound care, health education, and provider referrals. Some services are conducted by nursing students and depend on volunteers.",TBD,"12505 NE Halsey Street, Portland, OR 97230",45.53422331,-122.5340141,12505 NE HALSEY STREET,97230,12505 NE HALSEY STREET,97230,exact,,exact,Russell
Rose Haven,1740 NW Glisan Street,97209,Various,0,1,0,0,0,0,0,1,0,1,0,1,"Helping to meet the needs of displaced women and children.  Provides a drop in center that assists with food, clothing, diapers, showers, hygiene items, pet food, laundry facilities, bus fare, and temporary mailing addresses. Advocates are available to help connect individuals to community resources. Offers limited financial assistance in obtaining ID, storage fees, phone bills, education and employment clothing and training fees, rental applications, and electric, gas, water, and sewer bills. Outdoor gear is provided when available. No overnight shelter or rental assistance.",TBD,"1740 NW Glisan Street, Portland, OR 97209",45.52624456,-122.6891954,1740 NW GLISAN STREET,97209,1740 NW GLISAN STREET,97209,exact,,exact,Northwest District
Ecumenical Ministries of Oregon,2941 NE Ainsworth Street,97211,Various,0,1,0,0,0,0,0,1,0,1,1,1,"Provides a drop-in center serving hot breakfast and lunches, access to phones and computers, and recreational activities such as art therapy, games, and video-based media. Also provides clothing, showers, mail services, and hygiene supplies. Guests have access to laundry services, massages, acupuncture, foot care, and haircuts on a sign-up basis.",TBD,"2941 NE Ainsworth Street, Portland, OR 97211",45.56661732772423,-122.6353293,2941 NE AINSWORTH STREET,97211,2941 NE AINSWORTH STREET,97211,exact,,exact,Concordia
Rahab's Sisters,232 SE 80th Avenue,97215,Various,0,1,0,0,0,0,0,0,1,0,0,1,"Provides a drop-in center with access to community meals, a clothing closet, supplies, and access to other community providers.",TBD,"232 SE 80th Avenue, Portland, OR 97215",45.520607149972136,-122.5811536,232 SE 80TH AVENUE,97215,232 SE 80TH AVENUE,97215,exact,,exact,Montavilla
The Rosewood Initiative,14127 SE Stark Street,97233,Wednesday 10am-3pm,0,1,0,0,0,0,0,0,1,0,0,1,"Provides information about internal programs, one-on-one resource navigation, workforce navigation (resumes, job search, and more), digital navigation (assistance with using computers or iPads), TriMet Low Income Fare signups, and a food pantry. Is a host site for Multnomah County Access Attorney Program office hours (victim advocacy, system navigation, and general information).",TBD,"14127 SE Stark Street, Portland, OR 97233",45.519352299791805,-122.5179294,14127 SE STARK STREET,97233,14127 SE STARK STREET,97233,exact,,exact,Hazelwood
Helping Hands Reentry Outreach Centers,14355 N Bybee Lake Court,97203,Monday-Friday 8am-5pm,0,1,1,0,0,0,1,1,0,1,1,1,"Provides emergency shelter and transitional housing. Participants have access to food and clothing, assistance with applying for health insurance, and a comprehensive needs assessment process supported by a case manager. Can provide information and referrals about identification replacement, schooling, and job placement services.",TBD,"14355 N Bybee Lake Court, Portland, OR 97203",45.626056378405416,-122.7574529,14355 N BYBEE LAKE COURT,97203,,,fuzzy,93.33333333333331,fuzzy (93.3%),St. Johns
Salvation Army Moore Street Corps & Community Center,5325 N Williams Avenue,97217,Open 7 days per week 8pm-6am,0,1,1,0,0,0,0,0,1,0,0,1,"Offers an overnight shelter with a capacity of 100 beds. Provides food, sleeping mats, and hygiene supplies.",TBD,"5325 N Williams Avenue, Portland, OR 97217",45.56222552443252,-122.6675374,5325 N WILLIAMS AVENUE,97217,5325 N WILLIAMS AVENUE,97217,exact,,exact,Humboldt
Transition Projects,5329 NE Martin Luther King Jr Boulevard,97211,24 hours per day / 7 days per week,0,1,1,0,0,0,1,0,0,1,0,1,"Offering a low-barrier shelter. Residents will have access to coffee, tea, books, and board games. Bathrooms, showers, and laundry onsite are available for program participants.",TBD,"5329 NE Martin Luther King Jr Boulevard, Portland, OR 97211",45.56217336127628,-122.661845,5329 NE MARTIN LUTHER KING JR BOULEVARD,97211,,,fuzzy,93.15068493150685,fuzzy (93.2%),King
Family Promise Of Metro East,4837 NE Couch Street,97213,Monday-Thursday 10am-5pm,0,1,1,0,0,0,0,0,0,0,0,1,"Provides shelter with case management services. Residents must undergo a background check, remain clean and sober throughout their stay, and be willing to participate in the organization's program to overcome barriers and apply for sustainable housing. Preference is given to families whose last housed location was in Multnomah County.",TBD,"4837 NE Couch Street, Portland, OR 97213",45.5240591,-122.6130874,4837 NE COUCH STREET,97213,4837 NE COUCH STREET,97213,exact,,exact,North Tabor
Do Good Multnomah,1415 SE 122nd Avenue,97233,24 hours per day / 7 days per week,0,1,1,0,0,0,0,1,0,0,0,1,"Provides a reservation based low-barrier shelter with a capacity to serve 110 veterans. Clients will be housed in single rooms. Access to restrooms, showers, basic hygiene supplies, light food, and beverages will be offered. Once a space is reserved, the guest may continue to use until it's no longer needed. This shelter operates off a waitlist model and programs may not be immediately accessible.",TBD,"1415 SE 122nd Avenue, Portland, OR 97233",45.51340518328273,-122.5380651,1415 SE 122ND AVENUE,97233,1415 SE 122ND AVENUE,97233,exact,,exact,Mill Park
Transition Projects,1111 NW Naito Parkway,97209,24 hours per day / 7 days per week,0,1,1,0,0,0,1,0,0,1,0,1,"The Navigation Center is a temporary, low-barrier shelter serving up to 90 adults. The site has a space for coffee and tea, books and board games, a gated courtyard, showers and laundry, space to leave belongings during the day, and provides onsite meals. Staff will provide housing-focused support, employment and benefits assistance, and health-focused services.",TBD,"1111 NW Naito Parkway, Portland, OR 97209",45.53071448848812,-122.6768391,1111 NW NAITO PARKWAY,97209,,,fuzzy,92.30769231,fuzzy (92.3%),Pearl District
Sunstone Way,120 SE Market Street,97214,24 hours per day / 7 days per week,0,1,1,0,0,0,0,0,0,1,0,1,"Provides a temporary, low-barrier shelter serving up to 125 adults. The shelter will work with community partners to offer health and housing navigation services to all guests at the shelter. The shelter will offer laundry access, storage, restrooms, and offices. Once a space is reserved, the guest may continue to use the space until they no longer need it.",TBD,"120 SE Market Street, Portland, OR 97214",45.51049373,-122.6641552,120 SE MARKET STREET,97214,120 SE MARKET STREET,97214,exact,,exact,Hosford-Abernethy
Transition Projects,6130 SE Foster Road,97206,24 hours per day / 7 days per week,0,1,1,0,0,0,0,0,0,1,0,1,"Shelter and service center for up to 120 people experiencing homelessness. The site has a space for coffee and tea, books and board games, a gated courtyard, showers and laundry, space to leave belongings during the day and provides onsite meals. Staff will provide housing-focused support, employment and benefits assistance, and health-focused services.",TBD,"6130 SE Foster Road, Portland, OR 97206",45.49081604915217,-122.6000893,6130 SE FOSTER ROAD,97206,6130 SE FOSTER ROAD,97206,exact,,exact,Mt. Scott-Arleta
Transition Projects,5120 SE Milwaukie Avenue,97202,24 hours per day / 7 days per week,0,1,1,0,0,0,1,0,0,1,0,1,"Shelter and service center for up to 120 people experiencing homelessness. The site has 2 large sleeping rooms, a space for coffee and tea, books and board games, a gated courtyard, showers and laundry, space to leave belongings during the day, and a kitchen for light food and beverages. Staff will provide information, referral, and support. Onsite support services include housing, health, and income resources.",TBD,"5120 SE Milwaukie Avenue, Portland, OR 97202",45.48572932413156,-122.649205,5120 SE MILWAUKIE AVENUE,97202,5120 SE MILWAUKIE AVENUE,97202,exact,,exact,Sellwood-Moreland
Agape Village,9715 SE Powell Boulevard,97266,7 days per week 9pm-7am,0,1,1,0,0,0,0,0,0,0,0,1,Provides a community shelter with 80 beds. Shelter does not offer showers. Guests can stay for up to 90 days unless they engage in other services such as case management or housing support.,TBD,"9715 SE Powell Boulevard, Portland, OR 97266",45.49814192,-122.5636297,9715 SE POWELL BOULEVARD,97266,,,none,,none,Powellhurst-Gilbert
Urban League Of Portland,10 N Russell Street,97227,Housing screening: No standard hours,0,1,0,0,1,0,0,0,0,0,0,1,"Provides assistance to those with housing needs, including payments for rent, rental deposit, and rental applications. Also provides screening for emergency shelter. Assistance is dependent upon available funding and not guaranteed.",TBD,"10 N Russell Street, Portland, OR 97227",45.54077753937931,-122.6668964,10 N RUSSELL STREET,97227,10 N RUSSELL STREET,97227,exact,,exact,Eliot
Transition Projects,650 NW Irving Street,97209,Monday-Friday 8:30am-4:30pm,0,1,0,0,1,0,0,0,0,0,0,1,"Provides a short-term housing intervention program for low-income veterans and their families experiencing homelessness or at imminent risk of becoming homeless. Veterans and their families can be assisted with housing through case management, pending eligibility. If eligible, assistance and support may include move-in/rental assistance, eviction prevention, benefits support, employment and education services, legal aid around housing barriers, and other expenses that may support stable housing.Must be willing to work with a caseworker. May require clients to be alcohol- and drug-free. Assistance in any of these programs depends on availability of funds.",TBD,"650 NW Irving Street, Portland, OR 97209",45.5277911,-122.6773006,650 NW IRVING STREET,97209,650 NW IRVING STREET,97209,exact,,exact,Old Town
Janus Youth Programs,1635 SW Alder Street,97205,7 days per week 9am-5pm,0,1,1,0,1,0,0,0,1,0,0,1,"The Access Center is a service for homeless and runaway youth who are seeking intake assessment and referral. Provides basic needs including food, clothing, basic medical supplies, and shelter. Youth receive an assessment to determine if they meet homeless youth services requirements. For youth in crisis, emergency shelter is provided at Porch Light Youth Shelter.",TBD,"1635 SW Alder Street, Portland, OR 97205",45.522617503017074,-122.6885335,1635 SW ALDER STREET,97205,1635 SW ALDER STREET,97205,exact,,exact,Goose Hollow
Pdx Saints Love,247 SE 82nd Avenue,97216,Various,0,1,0,1,1,0,0,1,0,0,1,1,"Provides a day center for sheltering, hot meals, a once a week to go meal, haircuts, clothing, public restrooms, bus passes, wound care, hygiene kits, OHP and SNAP form assistance, ID and birth record replacement and payment assistance, severe weather supplies (depending on availability), resources for housing navigation and shelter referrals, detox referrals, overdose prevention, and Narcan supplies. Community Health Workers (CHWs), Peer Wellness Specialists (PWS), and Peer Support Specialists (PSS) are available to assist with resources, connections to health care, and case management.",TBD,"247 SE 82nd Avenue, Portland, OR 97216",45.52081089935547,-122.5796129,247 SE 82ND AVENUE,97216,247 SE 82ND AVENUE,97216,exact,,exact,Montavilla
Lifestance Health,4212 SE Division Street,97206,Monday-Friday 9am-5pm,0,1,0,0,0,1,0,0,0,0,0,0,"Provides mental health evaluations and individual, couples, and faith-based counseling. Offers psychiatric medication evaluation and management services.",TBD,"4212 SE Division Street, Portland, OR 97206",45.50499804274837,-122.6183464,4212 SE DIVISION STREET,97206,4212 SE DIVISION STREET,97206,exact,,exact,Richmond
Cascadia Health,1411 SW Morrison Street,97205,"In person: Monday-Thursday 9am-6pm, Friday 9am-5pm
Telehealth: Monday-Thursday 9am-8pm, Friday 9am-5pm",0,1,0,0,0,1,0,0,0,0,0,0,"Provides an intake line for services such as case management, individual, family, group, geriatric and LGBTQ counseling, alcohol and drug treatment services, DUII and gambling addiction/treatment services, recovery housing services, sexual abuse counseling, domestic violence services, urgent mental health services, medication management, money management, outreach, crisis intervention, outpatient mental health services, and early intervention services.  Provides about 1000 units in sites operating as licensed residential, permanent supported housing, and independent housing.",TBD,"1411 SW Morrison Street, Portland, OR 97205",45.52157747008409,-122.6865245,1411 SW MORRISON STREET,97205,1411 SW MORRISON STREET,97205,exact,,exact,Goose Hollow
Pacific University,9755 SW Barnes Road,97225,Monday-Friday 8:30am-5pm,0,1,0,0,0,1,0,0,0,0,0,0,"Provides mental health services to the community through individual, couples, family, child, and group therapy; psychological and cognitive assessments; consultation services; and psycho-educational services. No crisis intake. No primary alcohol and drug or conservator/guardian evaluations.",TBD,"9755 SW Barnes Road, Portland, OR 97225",45.51183419389411,-122.7779792,9755 SW BARNES ROAD,97225,9755 SW BARNES ROAD,97225,exact,,exact,West Haven-Sylvan
Lifestance Health,4445 SW Barbur Boulevard,97239,"Monday-Friday 8am-9pm, Saturday 10am-3pm",0,1,0,0,0,1,0,0,0,0,0,0,"Provides mental health evaluations and individual, couples, and faith-based counseling. Offers psychiatric medication evaluation and management services.",TBD,"4445 SW Barbur Boulevard, Portland, OR 97239",45.49157789,-122.6785951,4445 SW BARBUR BOULEVARD,97239,,,none,,none,Homestead
Lewis And Clark Community Counseling Center,3600 N Interstate Avenue,97227,Monday-Friday 8am-5pm,0,1,0,0,0,1,0,0,0,0,0,0,"Offers individual, couples, family, and group counseling and therapy services for people of all ages facing mental health, addiction, and/or relationship challenges. Offers sex therapy and help navigating sexuality and gender identity and transitions. Provides treatment to individuals and families related to problematic internet and gaming behaviors.  All therapeutic services are strictly confidential. Please note the Center is not a crisis intervention facility and does not offer medication management (appropriate referrals will be provided).",TBD,"3600 N Interstate Avenue, Portland, OR 97227",45.54825550087632,-122.6804453,3600 N INTERSTATE AVENUE,97227,3600 N INTERSTATE AVENUE,97227,exact,,exact,Overlook
Kaiser Permanente Health Care,3500 NE Martin Luther King Jr Boulevard,97212,Monday-Friday 8:30am-5pm,0,1,0,0,0,1,0,0,0,0,0,0,"Provides education, psychological support, and individual, child, family, and group counseling. Teaches relaxation, communication, positive image, and goal setting skills for people with cancer and the people that support them. Ongoing grief counseling for families. Open to both Kaiser members and nonmembers.",TBD,"3500 NE Martin Luther King Jr Boulevard, Portland, OR 97212",45.548525311404745,-122.6611572,3500 NE MARTIN LUTHER KING JR BOULEVARD,97212,,,fuzzy,93.15068493150685,fuzzy (93.2%),King
Lifestance Health,4055 SW Garden Home Road,97219,Monday-Friday 9am-5pm,0,1,0,0,0,1,0,0,0,0,0,0,"Provides mental health evaluations and individual, couples, and faith-based counseling. Offers psychiatric medication evaluation and management services.",TBD,"4055 SW Garden Home Road, Portland, OR 97219",45.46668457,-122.7191013,4055 SW GARDEN HOME ROAD,97219,4055 SW GARDEN HOME ROAD,97219,exact,,exact,Multnomah
Mindful Therapy Pacific Nw,825 NE 20th Avenue,97232,Monday-Friday 9am-4pm,0,1,0,0,0,1,0,0,0,0,0,0,"Provides counseling services for individuals, groups, and couples. Offers in-person and telehealth sessions.",TBD,"825 NE 20th Avenue, Portland, OR 97232",45.52914430141102,-122.6457607,825 NE 20TH AVENUE,97232,825 NE 20TH AVENUE,97232,exact,,exact,Kerns
Portland Therapy Project,7305 NE Glisan Street,97213,Thursday 3pm-5pm,0,1,0,0,0,1,0,0,0,0,0,0,"Provides mental health services which offers individual, couple, group, and gender affirming counseling that specializes in trauma, body-centered work, and LGBTQ+. Provides World Professional Association for Transgender Health letters of readiness for gender affirming surgeries.",TBD,"7305 NE Glisan Street, Portland, OR 97213",45.52692090871286,-122.5872664,7305 NE GLISAN STREET,97213,7305 NE GLISAN STREET,97213,exact,,exact,Montavilla
Pathfinder Network,10373 NE Hancock Street,97220,Monday-Friday 8:30am-7pm,0,1,0,0,0,1,0,1,0,0,0,0,"Provides strength-based group sessions through the utilization of trauma-informed approaches such as mindfulness practices, relational therapy, cognitive-behavior techniques (CBT), psycho-education, and body-focused movement.  Meals are provided and childcare is available.",TBD,"10373 NE Hancock Street, Portland, OR 97220",45.53648262189673,-122.5558724,10373 NE HANCOCK STREET,97220,10373 NE HANCOCK STREET,97220,exact,,exact,Parkrose Heights
Cascadia Health,6200 SE King Road,97222,Varies by service,0,1,0,0,0,1,0,0,0,0,0,0,"Offers mental health counseling for families, primary care, and substance use disorder (SUD) services, including Adult Outpatient/Recovery day services.",TBD,"6200 SE King Road, Portland, OR 97222",45.447689684038814,-122.5986673,6200 SE KING ROAD,97222,6200 SE KING ROAD,97222,exact,,exact,Mt. Scott-Arleta neighborhood
Northwest Family Services,3231 SE 50th Avenue,97206,"Monday-Thursday 8am-6pm, Friday 8am-5pm",0,1,0,0,0,1,0,0,0,0,0,0,"Professional counseling provided by licensed counselors. Services include individual, couples, and family counseling, as well as educational seminars and classes on topics including depression, anxiety, grief, anger management, body image, parenting, and communication skills.",TBD,"3231 SE 50th Avenue, Portland, OR 97206",45.499164694626685,-122.6115244,3231 SE 50TH AVENUE,97206,3231 SE 50TH AVENUE,97206,exact,,exact,Richmond
Quest Center For Integrative Health,12636 SE Stark Street,97233,Monday-Friday 8:30am-5pm,0,1,0,0,0,1,0,0,0,0,0,0,"Provide services, counseling, support groups, and education to people seeking a wellness-focused approach to living and dying. Assist clients to sustain lifestyle changes that support healing and to effectively strengthen those diagnosed with chronic or life-challenging illnesses, including HIV/AIDS, mental health disorders, chemical dependency, and breast cancer. Offers naturopathic, osteopathic, and Chinese medicine and non-opioid pain management services.",TBD,"12636 SE Stark Street, Portland, OR 97233",45.518836901033936,-122.5334781,12636 SE STARK STREET,97233,12636 SE STARK STREET,97233,exact,,exact,Mill Park
Lifestance Health,12636 SE Stark Street,97233,Monday-Friday 8:30am-5pm,0,1,0,0,0,1,0,0,0,0,0,0,"Provides mental health evaluations and individual, couples, and faith-based counseling. Offers psychiatric medication evaluation and management services.",TBD,"12636 SE Stark Street, Portland, OR 97233",45.518836901033936,-122.5334781,12636 SE STARK STREET,97233,12636 SE STARK STREET,97233,exact,,exact,Mill Park
